Name of the diseases,Medicine 1,Medicine 2,Medicine 3,Home remedie 1
Skin cancer ,Topical chemotherapy,Immunotherapy,Targeted therapies ,Regular exercise 
Head cancer ,Chemotherapy drugs ,Radiation therapy ,Targeted therapies ,Miantaing a balanced diet 
Neck cancer ,Chemotherapy drugs ,Raduation therapy,Targeted therapies ,Maintaining a balanced diet rich in iron
Lung cancer ,Chemotherapy  ,Immunotherapy,Targeted therapies ,Ginger tea 
Breast cancer ,Tamoxifen ,Herceptin ,Anastrozole ,Flaxseed 
Tumors of the gastrointestinal tract ,Imatinib ,Regorfenib ,Bevacizumba ,Aloe vera gel
Genitourinary tract cancer ,Ciprofloxain ,Tamsulosin ,Methenamine ,Cranberry juice 
Gynecologic cancer ,Carboplatin,Paclitaxel ,Trastuzumab ,Tumeric supplements 
Prostate hyperplasia ,Finasteride ,Tamsulosin ,Dutasteride ,Saw palmetto seed  oil 
Carcinoma ,Surgery ,Chemotherapy drugs ,Radiation therapy ,Aloe vera gel
Hypertersion ,Lisinopril ,Amlodipine ,Hydrochlorothiazide ,DASH diet 
